Random	 Average  of chlorophyll in the plant (ACHP)	 Plant height rate (PHR)	Average wet weight of the growth vege40tive (AWWGV)	Average leaf area of the plant (ALAP)	Average number of plant leaves (ANPL)	Average root diameter (ARD)	 Average dry weight of the root (ADWR)	 Percen40ge of dry matter for vege40tive growth (PDMVG)	Average root length (ARL)	Average wet weight of the root (AWWR)	 Average dry weight of vege40tive plants (ADWV)	Percen40ge of dry matter for root growth (PDMRG)	Class
3	36.29318174	45.60922208	1.351312227	981.4684269	3.993775056	16.99787924	0.764243329	31.39923956	17.34672587	2.757174226	0.437832614	27.90599061	10
2	33.10534326	67.0457713	1.108531236	1009.217031	5.007974031	15.9559504	1.179279394	19.38831009	20.84851131	2.852528166	0.196232591	41.28332485	10
3	36.29838406	45.6014851	1.365890879	981.4603233	4.005259696	16.99041672	0.76087721	31.38626916	17.352777	2.754431678	0.427767988	27.93769666	10
1	34.5074523	54.56774859	1.151782641	1284.217286	4.988259161	16.29562486	1.719161467	18.4161064	19.7299458	2.969043997	0.20292523	57.63384259	10
3	36.29612538	45.59482653	1.361255763	981.4609791	3.982281367	16.99743329	0.777436656	31.40367383	17.33226128	2.765124607	0.446429544	27.90518034	10
2	33.09868023	67.06139269	1.091081183	1009.218603	4.999056912	15.95541514	1.174352956	19.39268384	20.81500438	2.845250136	0.216976787	41.28860823	10
1	34.51678412	54.58147294	1.167430371	1284.229059	5.006032941	16.27170223	1.703850593	18.4060036	19.73809252	2.955318156	0.227795926	57.61669745	10
3	36.30322117	45.59160526	1.36435336	981.4785878	4.002125563	16.99854347	0.798736597	31.40746263	17.34245628	2.766222381	0.4190436	27.92516401	10
2	33.11115741	67.06571498	1.095691984	1009.211631	5.015092849	15.9545003	1.181772962	19.42697924	20.82040004	2.864477195	0.228090664	41.30691182	10
1	34.50663309	54.56051918	1.144665426	1284.23831	4.994453121	16.28430218	1.69472706	18.42955067	19.74198929	2.96934627	0.212460046	57.61945788	10
2	33.09383614	67.06766567	1.110855727	1009.226434	5.001085779	15.97437078	1.177109947	19.41317303	20.86103466	2.847342753	0.229882362	41.30784511	10
1	34.49681168	54.55469927	1.138119556	1284.243431	4.998234662	16.27786556	1.714295462	18.40924393	19.71489284	2.960909779	0.221324407	57.64858726	10
1	34.51770832	54.56770092	1.152076857	1284.233145	5.016122929	16.29552849	1.706330506	18.40960282	19.72732849	2.957474393	0.211942534	57.63273226	10
1	34.49283333	54.57865156	1.153601227	1284.245239	4.989438338	16.27310966	1.709153894	18.40842225	19.72646403	2.940423445	0.230278851	57.64643352	10
3	36.28038324	45.59081617	1.376479893	981.481612	4.012730564	17.00678638	0.753930757	31.40345328	17.33400309	2.76456918	0.430626485	27.90273376	10
2	33.10381288	67.06578239	1.119944885	1009.244954	5.012782186	15.96231839	1.176341611	19.39256067	20.85140387	2.843999764	0.220172595	41.30255032	10
1	34.51390723	54.57048728	1.15480233	1284.237049	4.988637943	16.29009141	1.706304639	18.40317791	19.72202536	2.947256196	0.202942997	57.62049098	10
3	36.2993891	45.59384548	1.359580997	981.4622372	4.016493694	17.00897658	0.773479247	31.40699186	17.32838243	2.751309169	0.434157721	27.9259833	10
1	34.50070682	54.55724608	1.153385793	1284.222362	4.997721637	16.26866046	1.709027197	18.41647576	19.74135056	2.951130555	0.229587486	57.62390054	10
1	34.49393073	54.55792723	1.166200688	1284.242625	5.022869723	16.25554935	1.716036652	18.40359365	19.73214882	2.950968326	0.210937548	57.62825913	10
3	36.29008142	45.61088656	1.36883192	981.4567847	4.00351574	17.00626078	0.765774839	31.39708328	17.32942327	2.75456945	0.433987784	27.91257868	10
2	33.11225556	67.06878867	1.112986869	1009.233385	5.002086926	15.97395305	1.180146777	19.40831027	20.8316131	2.833697958	0.224848847	41.30876869	10
3	36.30026449	45.59354663	1.370722969	981.4779284	3.98919423	16.98912488	0.773565386	31.42679334	17.34054327	2.761097559	0.430997289	27.91834974	10
3	36.30053283	45.59206994	1.370778367	981.4762558	3.991413462	16.99661407	0.782433566	31.40156976	17.32217435	2.768590629	0.44149122	27.92187546	10
3	36.3012177	45.60754619	1.372278276	981.4695427	4.006688573	16.99501134	0.780046521	31.38774105	17.32751697	2.767393128	0.437895003	27.92712318	10
1	34.49659916	54.57318388	1.139143576	1284.217935	4.980705198	16.27038277	1.699155021	18.40122211	19.73011965	2.95831457	0.213032407	57.64274562	10
1	34.49137695	54.57374655	1.166806498	1284.228065	5.002046127	16.28755971	1.693143649	18.40591646	19.73830281	2.944979696	0.221743047	57.62767745	10
1	34.5005386	54.55893665	1.160450472	1284.246692	4.987654802	16.28953825	1.684760144	18.39073279	19.74453644	2.949206688	0.216045344	57.65300584	10
3	36.30141685	45.61532284	1.356626699	981.468353	4.007586844	16.99362352	0.780628305	31.41530264	17.31621187	2.772249254	0.429698204	27.90834312	10
1	34.48652496	54.56914199	1.161712364	1284.239497	4.996652779	16.27919084	1.687061547	18.40324937	19.73231014	2.936101892	0.20612042	57.64143148	10
2	33.11078488	67.06873989	1.113119166	1009.241103	4.978888142	15.95381462	1.189011018	19.39957193	20.82620081	2.846075926	0.213529045	41.30092928	10
2	33.09911042	67.05951948	1.10534982	1009.210307	5.00250689	15.95974631	1.181712906	19.41216291	20.8293041	2.845229452	0.21361481	41.30004462	10
1	34.49804313	54.53804415	1.165271713	1284.23556	5.007629836	16.27406873	1.721298443	18.39329613	19.74330344	2.957292281	0.203458495	57.62837322	10
2	33.1033674	67.06096822	1.103995101	1009.228991	4.994818044	15.96766983	1.155112169	19.39194776	20.8577813	2.868895048	0.216519875	41.31946139	10
1	34.52340729	54.5616859	1.156048468	1284.232906	5.007913363	16.27678175	1.711419384	18.39400081	19.72931022	2.953008712	0.218032154	57.64679815	10
2	33.11574929	67.05541889	1.103442955	1009.229683	5.001567848	15.95597066	1.187130753	19.3892633	20.84447547	2.844266139	0.226740122	41.29812337	10
3	36.31327712	45.59835398	1.391571028	981.4798058	4.007778988	16.99937334	0.786906281	31.40338501	17.32680085	2.762553892	0.426546427	27.92836111	10
1	34.48972737	54.55069804	1.15629618	1284.210971	5.005060714	16.2842857	1.705144732	18.42293764	19.73449964	2.954924283	0.213888373	57.63433526	10
3	36.30050293	45.58245463	1.373007336	981.4555918	3.998572691	17.01575771	0.758029956	31.39535554	17.32646615	2.750206705	0.44207885	27.90459182	10
2	33.0963884	67.08474274	1.105176837	1009.226414	4.996881574	15.95446714	1.177817346	19.38922144	20.83653316	2.826699406	0.217295778	41.30046738	10
3	36.30662816	45.61234273	1.357632016	981.4612039	3.997103462	17.01118814	0.766035733	31.41075795	17.3353383	2.784853365	0.444138678	27.90543986	10
3	36.30138136	45.59914597	1.356614324	981.4516716	4.011097163	17.00017763	0.764954138	31.40173736	17.3277427	2.739595021	0.418441903	27.90307579	10
1	34.4990558	54.5371056	1.166884765	1284.233291	5.012480489	16.28045257	1.704829561	18.39113473	19.742185	2.951361758	0.213359956	57.62942678	10
2	33.10329438	67.0699981	1.114119062	1009.227802	5.006123058	15.95698427	1.187648981	19.39267541	20.82534305	2.857875595	0.200952932	41.30158636	10
3	36.30172185	45.59093945	1.384994867	981.472228	3.997717174	17.00506432	0.786835207	31.3978755	17.33139057	2.762684268	0.433345401	27.89670509	10
3	36.30768529	45.6028989	1.356106393	981.4648511	3.994234591	16.97206253	0.767442469	31.38553317	17.33918043	2.750469091	0.420760528	27.92537047	10
3	36.31711266	45.57782179	1.367776477	981.4765595	3.996894492	16.99532282	0.766208965	31.40737897	17.3306848	2.74790488	0.438234134	27.91801055	10
3	36.29108356	45.60603859	1.362422143	981.4796153	4.005521883	17.00308479	0.760385096	31.39177981	17.33262388	2.746382919	0.412853459	27.92921071	10
2	33.09584944	67.07241169	1.092156975	1009.238953	5.003240938	15.97699923	1.175616373	19.4023582	20.84206097	2.850162587	0.22044998	41.31131235	10
3	36.31076989	45.60169518	1.365330616	981.4811472	3.995906861	17.00620904	0.774886419	31.3968604	17.33733927	2.767933953	0.40410878	27.91796209	10
1	34.50868214	54.56984099	1.171169408	1284.234534	4.992929012	16.27109391	1.71975934	18.39597664	19.74028324	2.960773642	0.212207391	57.6382681	10
2	33.09477712	67.05333377	1.104901748	1009.227639	4.98526421	15.9606183	1.167992281	19.38452908	20.84743491	2.828458561	0.227269233	41.29553699	10
2	33.10362791	67.06773998	1.095804326	1009.211025	4.986170668	15.95272929	1.182782638	19.41178252	20.83546134	2.847442447	0.218903318	41.31730229	10
1	34.50253993	54.54716236	1.154051463	1284.249048	4.998183719	16.27332449	1.687813296	18.41305992	19.72037478	2.960968526	0.210982589	57.63645355	10
3	36.28139815	45.58738309	1.375954092	981.4678873	3.978521906	16.99807708	0.773902282	31.4030517	17.33588459	2.772169068	0.430096359	27.91739004	10
2	33.09773219	67.07435409	1.133191393	1009.229573	5.005984568	15.95831432	1.189197081	19.38061169	20.84215706	2.845570403	0.204102562	41.29787172	10
2	33.10196823	67.07408591	1.08782381	1009.234262	5.001811926	15.95440516	1.153475651	19.40471171	20.83387448	2.843722621	0.229405637	41.31292195	10
3	36.2959928	45.60063016	1.337621137	981.4714888	4.005674211	17.01092448	0.758115736	31.4121948	17.31435421	2.778188388	0.453682791	27.91118958	10
3	36.30121017	45.60390467	1.35424819	981.4673726	4.000248788	17.00269275	0.782694735	31.41637032	17.32027418	2.771654725	0.437226409	27.92390172	10
1	34.50329993	54.54989343	1.163009178	1284.234062	5.002577717	16.27898801	1.699610622	18.4003939	19.72068529	2.968317141	0.196938508	57.64397518	10
3	36.28505479	45.6110899	1.362300866	981.4732389	4.009611755	16.9979451	0.781572326	31.39763327	17.34899378	2.763414133	0.428745169	27.91428925	10
1	34.48754282	54.57581793	1.150474167	1284.224551	5.011536694	16.27148758	1.694684321	18.39463021	19.71674745	2.965623007	0.198558358	57.62414178	10
1	34.5034016	54.56737676	1.152254587	1284.240641	4.989699663	16.28474745	1.723020201	18.41214136	19.75175421	2.968258056	0.211240491	57.63475267	10
1	34.50540346	54.53618574	1.16640436	1284.237358	4.989861854	16.28825564	1.699377247	18.38417392	19.73182166	2.959753707	0.198358224	57.63021586	10
1	34.49482161	54.54978023	1.148308821	1284.24906	4.996661626	16.27443349	1.702138735	18.41578763	19.73954873	2.95201415	0.213089946	57.61626552	10
2	33.1041594	67.05931745	1.108451834	1009.234961	5.003209416	15.97238763	1.157369411	19.40215084	20.84337362	2.844253408	0.207938118	41.29386433	10
3	36.3060494	45.58953891	1.360043215	981.4579153	4.006083558	17.00205619	0.764282588	31.39474641	17.32989719	2.762000923	0.414589574	27.90339477	10
3	36.30390662	45.59932375	1.378291219	981.4785723	4.003305128	16.98907251	0.747214883	31.42009484	17.33336215	2.765006685	0.417498066	27.9091022	10
3	36.29360512	45.60651334	1.382851402	981.4663219	3.993999013	16.99843447	0.759025669	31.40634144	17.33392568	2.753065733	0.432395596	27.92186515	10
3	36.3027358	45.59200418	1.376274661	981.4691275	3.993083219	17.01392732	0.779604754	31.39292853	17.33593232	2.779960559	0.420969779	27.9103916	10
2	33.10740751	67.05967134	1.099158705	1009.211748	4.991825356	15.96270477	1.165919555	19.3965093	20.84018449	2.851002854	0.202544968	41.30485144	10
1	34.5013634	54.54709837	1.153340735	1284.239786	4.998192683	16.28426652	1.708647461	18.4141419	19.73925227	2.971315653	0.202968832	57.61518225	10
2	33.10366192	67.07783061	1.117187293	1009.224635	5.010808965	15.96174598	1.167309979	19.39488317	20.83703103	2.842183867	0.207245526	41.30637048	10
2	33.10205691	67.07907091	1.098801319	1009.212989	4.99919824	15.97319787	1.198085439	19.41356341	20.85555119	2.855776313	0.204456347	41.29022248	10
1	34.48386615	54.57545935	1.150379157	1284.241343	4.992326691	16.26617793	1.732466688	18.4012724	19.72395846	2.985872454	0.202309605	57.62528718	10
3	36.29883592	45.61285368	1.363469699	981.4449671	3.99968679	16.97945826	0.772295419	31.40360594	17.34155299	2.750778399	0.429527064	27.9066763	10
3	36.32323041	45.58619473	1.358555095	981.4652722	3.995337451	16.98669007	0.762860065	31.40253111	17.35043014	2.770812765	0.426129464	27.90815826	10
2	33.09149267	67.0747633	1.112915107	1009.232693	4.978171094	15.96170991	1.160672986	19.41171157	20.84633363	2.843551227	0.218861289	41.30858868	10
2	33.09082771	67.05217947	1.128770973	1009.204083	5.015982421	15.97328693	1.166863849	19.40836157	20.84262893	2.854709832	0.202402641	41.28659749	10
2	33.11918157	67.06537579	1.108588	1009.231557	5.025558116	15.96070167	1.175997985	19.41391133	20.83702095	2.8323596	0.2276242	41.30191316	10
1	34.50601764	54.5788046	1.147830389	1284.247163	4.993269371	16.30114321	1.705031625	18.40080715	19.73491824	2.966384291	0.208802321	57.63890467	10
3	36.29887679	45.60607535	1.370959721	981.4770348	3.997956848	16.99565332	0.770633044	31.41780387	17.33060959	2.756142715	0.414769612	27.90443468	10
1	34.49281192	54.55236009	1.159714452	1284.221055	5.015280951	16.27918875	1.702879959	18.39645287	19.74289809	2.950224643	0.213654077	57.64636645	10
2	33.09654076	67.07029909	1.104267512	1009.213931	5.007326804	15.96681509	1.191176944	19.38925491	20.83311511	2.843999326	0.213733412	41.28350699	10
2	33.10651761	67.07071012	1.097121788	1009.231748	4.99780098	15.9641177	1.181230031	19.39796272	20.83062155	2.842642108	0.21494608	41.298392	10
3	36.30894561	45.60909833	1.347506233	981.4570818	3.996750801	17.00676268	0.759881836	31.41439699	17.33821083	2.767886677	0.426072341	27.92053445	10
3	36.30546026	45.60830242	1.356604375	981.4579443	4.005959657	16.97298748	0.769465595	31.3953221	17.34540548	2.761700762	0.438986573	27.91473673	10
3	36.30197826	45.58524142	1.383415242	981.4679385	3.999090365	17.0023808	0.774145515	31.40712899	17.3431965	2.756782537	0.422298024	27.92408194	10
3	36.29586163	45.5914499	1.357868011	981.4708307	4.008087865	17.00289277	0.779749037	31.39471983	17.32908306	2.758680111	0.416043019	27.91792167	10
1	34.50127255	54.56484549	1.166906669	1284.232936	4.999273573	16.26467906	1.68830161	18.41015521	19.74290149	2.94106545	0.226619254	57.65484427	10
1	34.47835971	54.56349722	1.158506665	1284.231675	4.992643442	16.27225383	1.701855532	18.4105312	19.74804669	2.953202903	0.19611888	57.63315377	10
3	36.31717929	45.61136791	1.350908591	981.4857666	3.997469594	16.98365389	0.767707666	31.39704662	17.34467456	2.762159573	0.427757363	27.91204214	10
3	36.28448341	45.61593329	1.365672505	981.4713306	4.020207313	16.98319238	0.77992798	31.38885326	17.3228511	2.773241507	0.435110361	27.91253183	10
